Ticker,Preço,Market Cap,FCO,Adjusted FCO,Capex,Capex (Raw),Depreciação,Ajuste Expansão,Juros,Impostos,Arrendamentos,FCF,FCF Yield,Rev Growth 5Y,Setor,Status
IGTI11.SA,30.06,0,328860000.0,328860000.0,-167010000.0,-167010000.0,127300000.0,False,562290000.0,94090000.0,931596000.0,-1426126000.0,0.0,0.13520487802388748,Real Estate,🔴 Caro
B3SA3.SA,19.25,96457506816,4358630000.0,4358630000.0,-287273000.0,-287273000.0,387023000.0,False,1720743000.0,2359029000.0,0.0,-8415000.0,-8.724048835361513e-05,0.03473352269584851,Financial Services,🔴 Caro
EMBJ3.SA,84.79,60356333568,870000000.0,870000000.0,-483900000.0,-483900000.0,259500000.0,False,197000000.0,91400000.0,118100000.0,-20400000.0,-0.00033799269760176033,0.18616182663556513,Industrials,🔴 Caro
TSLA,392.5,1472829456384,14747000000.0,14747000000.0,-8527000000.0,-8527000000.0,6148000000.0,False,338000000.0,1423000000.0,6566000000.0,-2107000000.0,-0.0014305797530509584,0.051943257367141005,Consumer Cyclical,🔴 Caro
META,670.91,1703053492224,115800000000.0,115800000000.0,-69691000000.0,-69691000000.0,18616000000.0,False,1165000000.0,25474000000.0,25153000000.0,-5683000000.0,-0.0033369474452494318,0.19893831442939258,Communication Services,🔴 Caro
PPG,114.73,25676421120,1941000000.0,1941000000.0,-778000000.0,-778000000.0,528000000.0,False,241000000.0,458000000.0,588000000.0,-124000000.0,-0.004829333473714268,0.005541161450504539,Basic Materials,🔴 Caro
LOW,253.29,141858455552,9864000000.0,9864000000.0,-2213000000.0,-2213000000.0,2194000000.0,False,1527000000.0,2093000000.0,4756000000.0,-725000000.0,-0.0051107281351603475,-0.038458186348783285,Consumer Cyclical,🔴 Caro
BLK,1048.42,163072868352,3927000000.0,3927000000.0,-375000000.0,-375000000.0,1126000000.0,False,614000000.0,1677000000.0,2228000000.0,-967000000.0,-0.005929864420564969,0.1065430569599104,Financial Services,🔴 Caro
CSX,43.71,81300291584,4613000000.0,4613000000.0,-2902000000.0,-2902000000.0,1680000000.0,False,844000000.0,880000000.0,479000000.0,-492000000.0,-0.0060516388122871904,-0.01737875164321634,Industrials,🔴 Caro
VALE3.SA,88.73,387316744192,8801000000.0,8801000000.0,-6006000000.0,-6006000000.0,3105000000.0,False,2041000000.0,2670000000.0,668000000.0,-2584000000.0,-0.006671542190592886,-0.04316988050205395,Basic Materials,🔴 Caro
MU,448.42,505698516992,17525000000.0,17525000000.0,-15857000000.0,-15857000000.0,8352000000.0,False,477000000.0,1124000000.0,3745000000.0,-3678000000.0,-0.007273108139366335,0.06713489726936261,Technology,🔴 Caro
DE,594.52,160584187904,7459000000.0,7459000000.0,-4228000000.0,-4228000000.0,2229000000.0,False,3170000000.0,1259000000.0,353000000.0,-1551000000.0,-0.009658485186145566,-0.0450056665565175,Industrials,🔴 Caro
TEND3.SA,32.73,4011982848,290321000.0,290321000.0,-119621000.0,-119621000.0,64473000.0,False,133596000.0,38639000.0,40500000.0,-42035000.0,-0.0104773628384166,0.20042589313004133,Real Estate,🔴 Caro
HD,350.99,349595729920,16325000000.0,16325000000.0,-3679000000.0,-3679000000.0,4121000000.0,False,2412000000.0,4446000000.0,9578000000.0,-3790000000.0,-0.010841093513548599,0.015185146415588768,Consumer Cyclical,🔴 Caro
NEE,92.01,191868731392,12485000000.0,12485000000.0,-9274000000.0,-9274000000.0,6941000000.0,False,4572000000.0,802000000.0,0.0,-2163000000.0,-0.011273332472193469,0.09364770128221722,Utilities,🔴 Caro
NKE,46.48,68831625216,3698000000.0,3698000000.0,-430000000.0,-430000000.0,808000000.0,False,389000000.0,666000000.0,3052000000.0,-839000000.0,-0.012189164462805295,-0.002869856686446237,Consumer Cyclical,🔴 Caro
PSSA3.SA,55.41,35592159232,1368371000.0,1368371000.0,-405442000.0,-405442000.0,422720000.0,False,50079000.0,1215437000.0,131337000.0,-433924000.0,-0.012191561550721262,0.2048804612977826,Financial Services,🔴 Caro
DD,47.0,19264227328,560000000.0,560000000.0,-388000000.0,-388000000.0,647000000.0,False,313000000.0,102000000.0,9000000.0,-252000000.0,-0.013081240981501773,-0.19269293381346742,Basic Materials,🔴 Caro
MMM,151.4,79742377984,2306000000.0,2306000000.0,-910000000.0,-910000000.0,1308000000.0,False,946000000.0,1003000000.0,615000000.0,-1168000000.0,-0.014647167911575883,-0.01570080136859997,Industrials,🔴 Caro
KLBN11.SA,18.76,133309710336,6396244000.0,6396244000.0,-2831963000.0,-2831963000.0,4990437000.0,False,3163674000.0,701192000.0,1737531000.0,-2038116000.0,-0.015288578715406684,0.010941885899882209,Basic Materials,🔴 Caro
WMT,127.92,1019829747712,41565000000.0,41565000000.0,-26642000000.0,-26642000000.0,14203000000.0,False,2799000000.0,7199000000.0,22333000000.0,-17408000000.0,-0.017069515807962114,0.05272290929168877,Consumer Defensive,🔴 Caro
ITSA4.SA,14.74,165255249920,166000000.0,166000000.0,-931000000.0,-931000000.0,1261000000.0,False,1492000000.0,161000000.0,901000000.0,-3319000000.0,-0.020084082058553217,-0.009397486982483882,Industrials,🔴 Caro
INTC,65.7,329880371200,9697000000.0,9697000000.0,-14646000000.0,-14646000000.0,11706000000.0,False,1091000000.0,1531000000.0,0.0,-7571000000.0,-0.022950744151460443,-0.05712887978236014,Technology,🔴 Caro
UPS,107.11,91008466944,8450000000.0,8450000000.0,-3685000000.0,-3685000000.0,3746000000.0,False,1017000000.0,1592000000.0,4463000000.0,-2307000000.0,-0.025349289769044898,-0.04040260188163358,Industrials,🔴 Caro
FCX,70.18,100862812160,5610000000.0,5610000000.0,-4494000000.0,-4494000000.0,2244000000.0,False,369000000.0,2221000000.0,1113000000.0,-2587000000.0,-0.02564869989839474,0.04391666611007472,Basic Materials,🔴 Caro
EVEN3.SA,6.74,1319806336,88842000.0,88842000.0,-35500000.0,-35500000.0,4127000.0,False,35376000.0,52266000.0,0.0,-34300000.0,-0.0259886614152457,-0.06081177547620453,Real Estate,🔴 Caro
EQTL3.SA,45.06,56696233984,3973867000.0,3973867000.0,-37507000.0,-37507000.0,3138652000.0,False,4975134000.0,421765000.0,100132000.0,-1560671000.0,-0.027526890065404173,0.23390296686561318,Utilities,🔴 Caro
BA,225.08,176877797376,1065000000.0,1065000000.0,-2951000000.0,-2951000000.0,1953000000.0,False,2771000000.0,397000000.0,585000000.0,-5639000000.0,-0.0318807678728203,0.10333066303739025,Industrials,🔴 Caro
ORCL,177.58,510728273920,20821000000.0,20821000000.0,-21215000000.0,-21215000000.0,6174000000.0,False,3578000000.0,1717000000.0,11536000000.0,-17225000000.0,-0.033726348979649615,0.10588419257288817,Technology,🔴 Caro
AMZN,248.28,2670065614848,139514000000.0,139514000000.0,-131819000000.0,-131819000000.0,65756000000.0,False,2274000000.0,8295000000.0,87339000000.0,-90213000000.0,-0.03378681014366593,0.11731283601806397,Consumer Cyclical,🔴 Caro
